用户名,时间,评论内容
jwn007,2019-07-17T15:14:10.000Z,第一次漂流有感漂流不知是何时兴起的娱乐项目，其实大夏天和朋友一起嬉水倒是一件快乐的事情。本来还天真的以为也许衣服不会湿，事实证明，是要多湿就有多湿。走在小河边和很多小青蛙的邂逅，还有着带尾巴的小青蛙，真是好可爱，说明生态环境还是不错的！路边偶遇的野菊花，还捡了一把想要带回家，可是还是忘在了宾馆。。。最为重点的当然是漂流，整个水道有6.1公里，落差两百多米，整个过程还是很有意思的。先是围着漂流的水道看了一下地形和将要遇到的情况有个心理准备。也算是爬爬山，活动一下筋骨。每个小船大概是两到三个人，建议两个人，轻一点会比较好漂。而且一定要穿轻薄一些的衣服，整个路程会比较舒服。漂流之后会有景区交通到住宿核心区，穿雨衣基本没啥用，其实来了就应该放开好好玩，开心嘛😃 因为是第一次漂，也不知道别的漂流是什么样子，这个漂流整体有舒缓休息的地方，也有群聚打水仗的地方，还有大小不一的隧道，真的是很刺激，感觉不错哦！白天漂流晚上萤火虫音乐节，就在住的地方旁边，景区公交正好到门口，漂流完坐车回来特别方便。山里的空气好，我们住的幽簧居，房间宽敞干净，床很软，窗外就是竹林，睡得很好很舒服。吃饭也在这，山里的食材很好，饭做的很好吃，感觉这两天吃饭都多了，和很多朋友在一起相处很开心😃
小趴趴,2019-07-17T10:13:20.000Z,久居都市的人总是特别向往去清幽宁静的山里，尤其是在夏天，豫西大峡谷就是这样一个特别适合夏日休闲避暑的好地方。。。。豫西大峡谷位于三门峡市卢氏县官道口镇境内，是一个集漂流，观光，养生于一体的国家AAAA级景区，距离郑州大约四个小时的车程，特别适合全家人周末休闲两日游。。。【漂流】豫西大峡谷在夏天最不容错过的就是漂流，全长6公里，整体落差210米，漂流时长大约两个小时，算是中型的漂流景区，途中有三处穿山岩洞，一处回旋型漂流河道，是比较惊险刺激的，其他的大多是比较平缓蜿蜒的河道，危险程度不高，整体来说还是比较适合带着孩子来玩的。。。漂流气艇也是比较小型的，可以乘坐两到三个人，有些地方需要配合划桨，弯道处也会有工作人员帮忙辅助气艇的流向，累了还可以在宽阔的蓄水处打会儿水仗，时而刺激时而放松，整体还是体验感很丰富的。。。【百草园】百草园位于豫西大峡谷景区内，是一个还保留了原始风貌和古朴民风的民俗村，目前是不收门票的。。。园内的房屋，水井，石磨都是很原始的状态，遍地的花草也让人心旷神怡，村民更是朴实友好，感觉仿佛进入了一个世外桃源，让人不禁忘却尘世的喧嚣。。。再往里走，充满童趣的儿童乐园，网红桥，以及刺激的彩虹飞碟，都是放松娱乐的好去处，总体来说很适合放慢脚步，用心去发现身边的小美好。。。【餐饮住宿】豫西大峡谷景区内有不少农家乐形式的民宿，价位实惠，也有一些比较正规的宾馆，我们这次入住的幽篁居就非常不错，掩映在竹林中，空调，热水器一应俱全，房间也很干净。。。饭菜方面虽不是很精致，但味道都还不错，食材很多也都是取自山里土生土长的，真正原生态的味道，无公害无污染，吃起来也更加放心。。。【星空房车营地】如果住腻了千篇一律的宾馆，那么采用双层巴士改装，十二星座命名的星空房车营地，一定能够满足你想要体验新鲜感的需求。。。房车内部分为两层，空间很大，每层都有独立的卫生间，沙发电视空调配备齐全，可以容纳一家5-7口人居住，房车前还有草坪，夜晚赏星品茗，无比惬意。。。【萤火虫啤酒音乐节】我们这次还赶上了一年一度的豫西大峡谷萤火虫啤酒音乐节，欣赏了网红达人的表演，畅饮了啤酒，还看到了灿若繁星的萤火虫，真的是收获满满。。。
joagie,2019-07-17T02:31:19.000Z,今年7月12号是入伏的日子，这到了三伏天，最显著的特征就是闷热，郑州的人们又可以体会“出门五分钟，流汗两小时”的境界了，炎炎夏日最爽的事，就是周末找个避暑的地方，海吃海玩，话不多说，那就随我一起来，集合出发，目的地三门峡卢氏县豫西大峡谷景区。【吃住篇】我们住的是相对条件较好的宾馆――幽篁居，在一片竹林的深处，一座三层小楼，很是清幽，这家宾馆的住宿条件要好于周边的农家院，标间的房间很大，24小时热水供应，宾馆的WIFI也很给力，上网看电视都流畅不卡。在景区游玩的两天时间，正餐全都是在幽篁居一楼的餐厅吃的，餐厅主营地道的农家菜，特别推荐的有土鸡蛋、干煸辣子鸡、蒸槐花，都是当地出品的食材，经过厨师不算复杂的加工之后，吃到的是满满的农家菜味道的美食。游客们也可以选择离核心景区很近的农家院，每个农家院都有编号，吃住都在农家院，比较方便，价位也相对低一些。还有一个好的选择，适合一家人居住，那就是到景区进门处的空房车营地，很新颖别致的一个地方，12个星座都有自己的专属房车。仅需488元就能享受住房车的礼遇，这些房车都是由双层巴士改装的，麻雀虽小五脏俱全，空调、沙发、电视、卫生间、上下铺一应俱全，特别适合全家人出游居住。【漂流篇】漂流是来豫西大峡谷游玩的重点，建议大家换上精炼的衣服，漂流的时候不要带手机，如果想照相，可以把手机放在防水袋里面，整个漂流过程有两个小时，结束之后，可以到终点处的淋浴间洗澡然后换衣服，也可以坐景区大巴车（30元/人）会住宿处洗漱更换。体验过程，基本上是开始缓，逐渐急的过程，岸上会有工作人员帮忙疏通河道，帮助游客顺利通过，沿途还有一些平静的潭水，可以停船休整，欣赏山间风景，漂流最刺激的非3处暗洞穿越莫属了，洞中伸手不见五指，瞬间心跳加速，恐惧感爆棚，过后又会意犹未尽。【游玩篇】除了漂流，来豫西大峡谷景区，还可以到豫西百草园进行农家乐体验。据当地朋友介绍，百草园所在的村原来叫河沟村，是国家级贫困村，那时候进出村子的道路都是土路，遇到下雨天泥泞不堪，基本上就与外隔绝了，经过国家精准扶贫和后续开发之后，形成了现在的百草园景区。从景区正门进去之后，观光车开行大概3分钟，就到了百草园游客中心，在这里可以免费领取景区纪念品，参观中草药展览馆和老物件展览馆。稍事休息之后，可以沿着游客中心右侧进村道路步行游览，沿途能看到原始风貌的泥土房屋，走累了可以到自营的农家小吃店，吃当地特色的豫西养生十大碗，品尝农户家里的自酿美酒，还可以到当年村委广场，推着磨坊碾麦子磨玉米，去体验最淳朴的乡村风俗。然后顺着蜿蜒的小路到了后山，那就是另外一片天地了，一边是热闹的游乐场，一边是种植中草药和鲜花的园区。小孩子和年轻朋友最喜欢的就是游乐场了，网红桥、丛林穿越、彩虹飞碟，都会让人在运动中舒展筋骨愉悦身心；在中草药种植区，游客们可以近距离观赏那些熟悉名称但没见过实物的中草药，比如紫苏、板蓝根等等，绝对让人大开眼界增长学问。如果你觉得时间充裕的话，可以在园里玩上一整天，享受吃喝玩乐一条龙的体验。【番外篇】7月份每周六的晚上，景区都会举办萤火虫音乐节，有网红明星为大家表演精彩的节目，还有游戏环节，游客们可以上台互动，赢取畅饮啤酒的大奖。节目表演结束之后，景区工作人员会带领大家重返刘秀湖，放飞萤火虫，不少游客都是选择露营在湖边，伴随着点点星光，慢慢进入梦乡。【结束语】快乐的时光总是很短暂，两日游就这样告一段落了，其实在卢氏县，不仅有豫西大峡谷和百草园，还有一处汤河温泉可以来体验，当你在喧闹的城市中忙碌了一周，到了周末来趟卢氏，玩漂流、品美食、逛村落、赏花木、泡温泉，万种风情，敬请享受。
榴莲6666,2019-07-17T00:00:45.000Z,三门峡卢氏县内的豫西大峡谷，不仅漂流独具风格，而且还有特色的农家美食和与众不同的萤火虫音乐节，更有适合休闲娱乐的百草园。以下全是干货~拿走不谢~交通方便~推荐使用百度地图，直接选择豫西大峡谷这个终点，绝对可以找到！全程高速，最后一部分会有盘山的公路，但是路况较好，车流不多，整体便捷顺利，车程大概三小时。住宿丰富多样~可以选择住在农家的民宿里面，这里是精准扶贫的示范点，这些村民为景区工作，由景区统一管理，所以住宿价格也很实惠，不存在胡要价的情况。配套很完善，基本上属于农家住宿当中比较高端的配套了。或者自带帐篷，在任何不影响景区交通或者不利于安全的地方，都可以随地露营。晚上以天为盖以地为床，也是十分惬意。最具有特色的还是他们公交车改造的汽车小别墅了，一晚价格488，可以住5~7个人。配套完善，水电全有，空调到位。每个汽车小别墅的门口都有一片草地，可以露营，可以烧烤。汽车小别墅里面是两层。一层有床，卫生间还有沙发和休息的地方，2层主要是床和洗漱间。吃饭也是在当地农家特色的基础上进行了高端升级。土鸡蛋炒槐花。鸡蛋好嫩，一点儿也不腥，槐花很香，炒鸡蛋中带着一丝自然的香味。橡子凉粉，开胃解腻，挑一点好玩的事，在清新中，但随着酸辣的可口感。清炒包菜真的是吃到了甜的味道，包菜是他们自己种的，炒的很鲜美，包菜脆脆的，甜甜的，吃到的真的是原汁原味的新鲜。圆桌用餐的菜量很足，有肉有菜有汤有主食，主食无限量。这一个集休闲娱乐度假于一体的美好之地，游玩必不可少！1，漂在豫西，爽在今夏的漂流在保障安全的基础上，他们的特色漂流与众不同。总长6公里，落差210米，不仅有绵延的河道，特别还有三个山洞，每个山洞风格迥异，第1个山洞是险，第2个山洞是抖，最后一个山洞是惊。而且在比较细小入口处都有工作人员贴心的指导，避免堵车。所以在滑落过程中不仅能感受到自然还能够感受到温暖。2，不可错过的萤火虫音乐节每年的7月初到8月20日的周六晚上8点都会有精彩的表面，能听到high歌，看到网红的舞蹈，还有魔术秀。晚上是一个放松的时刻，还有啤酒烧烤来助兴。演出结束之后就可以看到萤火虫的放生表演，真的是萤火虫，感觉非常的浪漫。在河边看着萤火虫翩翩起舞，但一定要光线很暗才可以看到。我第1次见到萤火虫，真的震惊了，真的是一闪一闪的光，这个光在黑暗中格外明亮，但如果加入了人工的光芒是真的看不到了。3，自然乐园百草园百草园是以休闲娱乐体验于一体的一个单独的景区，现在门票是免费的。里面都是在原住村民真实的住房上进行少量改造，展览体验的场所。兰花馆是在当地村民土屋子里面进行了安全加装的兰花展览，在兰花盛开的季节会很美。老河烧是当地的酒特产，价格不贵，携带方便，可以作为特产打包带走还有网红的彩虹滑梯或者是攀爬类的娱乐活动。彩虹滑滑梯与众不同之处是，滑的过程中会自然而然的转起来，所以在刺激之余多了一次娱乐性。小吃都是当地村民当场制作的，非常新鲜，除了常见的米线麻辣烫凉皮儿以外，还有糖糕和当地的土蒸碗。豫西大峡谷适合全家老少一起出游，及休闲娱乐演出于一体的棒棒哒的度假区。
麦斯,2019-07-16T15:28:10.000Z,碧水丹山映杖藜，夕阳犹在小桥西。微吟不道惊溪鸟，飞入乱云深处啼。☜☜总觉得这首诗，用来形容豫西大峡谷没错了，既有竹林通幽处，又有高峡出平湖，适合冒险刺激的漂流，更有寓教于乐的百草园到三味书屋。☜☜位于三门峡卢氏县的豫西大峡谷，距郑州四个小时左右的车程，适合家庭，团建和朋友出游，198的门票包含漂流，周边两日休闲游的首选。☜☜下高速之后的沿途，景色奇秀，花香伴着鸟语，民居统一又特色，停车场依山而建，转角就是宾馆--幽篁居。☜☜竹林茂密丛生，就像卧虎藏龙的场景，红色的墙圍和木制的招牌透着厚重感，标间干净整洁，还有特色地道的农家菜满足游玩以后疲惫胃口。☜☜沿着竹林出去，左手边的广场是夏季每个周六晚上，萤火虫音乐啤酒节的主战场，音乐串烧和**网红达人齐登场，喝着啤酒吃着烧烤，最后的萤火虫观赏，才是整个啤酒节的压轴惊喜。☜☜广场的旁边就是刘秀湖，也是整个漂流的起点，声嘶力竭的呐喊，喊泉来帮你发泄平日里的苦闷和压力。☜☜一路上小桥流水，青山浅潭都有漂流者的欢声笑语相伴，偶尔的水枪滋来，也会报以会心一笑，景区的指示牌写着历史典故和由来，畅游到大淙潭瀑布，疑是银河落九天的真实就在眼前。☜☜没有艰难曲折的山路需要攀爬，也没有单一枯燥的人文历史，有惊奇的漂流和浪漫的萤火虫，有斑斓的星空和新潮的啤酒节，来一次养生又舒坦的大峡谷之旅，定当不虚此行。
长宜暖暖,2019-07-16T03:48:30.000Z,湖边有好多露营的游客，到了晚上一个个帐边走边看着漂流的游客，全长6公里，穿着救生衣漂流在湖面上，嬉笑打闹着，恨不得立马加入他们。随着漂流，山里有99级瀑布，和300多个潭池，一边观赏一边感叹山里的自然景观。走到尽头，是最大的大宗潭瀑布，声势惊人，很是震撼。等到我们真的要去漂流，忍不住激动的心情。每个人一件救生衣，一个头盔，一个划桨，两个人一条船就出发了。就让人很紧张刺激，一定不要张嘴，心情震撼，炎热的天气，冰凉的湖水拍打在身上，消除闷热的天气，全程不需要划船，随着水流一直向下。途中一共有三处暗洞，第一个真的很刺激，记得千万不要张嘴，每一次的颠簸都让人振奋精神，忘却烦恼，体会当时的心情。经过2个小时的漂流终于到达终点，终点有洗浴的地方，而且还有干衣服快递服务，洗完可以穿干净的衣服。旁边有回程的汽车，一个人30块钱，推荐乘坐。晚上还有萤火虫啤酒音乐节，边吃烧烤边欣赏歌曲表演。
小新子_11,2019-07-08T05:57:08.000Z,远近闻名说这里的好玩，第一次漂流就选了一个大的，相当刺激，漂流的中间会有黑山洞，刺激刺激，话不多说快玩起来吧
木子君小姐姐,2019-06-30T10:04:28.000Z,这个是景区里的漂流，门票＋漂流，提前4个小时订票便宜，停车5元一次，过夜10元，票是2日无限次通行，包括了几个旅游景点，具体可以看订票时里面包含的景点项目。我们是晚上过去第二天才游玩，所以在当地农家乐住了一晚，16号农家乐，老板掌勺，做菜还蛮好吃的！漂流和团体互动性还是蛮强的，船上的人需要相互配合，第一站合力划到起点，挺有意思的。大家可以带上手机，最好在网上买一个质量好点，景区门口虽然都有的卖，但质量就一般，如果来不及买，就在景区买，要买就买15的，哈哈哈哈！一开始就一直不停转圈，哈哈哈哈！大家记得要带瓢应战，不然你会被泼的很惨。还有要买大的水枪，不要买针管的，不然矮人可不止一截，哈哈哈哈哈！防水手机我是12点开始的，水流量不是很大，主要人数也不是很多，有几个坡道膈地我屁股疼，因为水流量不足，所以你比较容易被搁浅，这时就需要用到船桨啦！哈哈哈哈哈哈哈，有几个坡道还是很惊险刺激的，不得不提地是山洞历险记，还是蛮刺激的，山洞很黑，而且还有几个急转弯，最后一个山洞很刺激，一定要拿起你的手机，你记得问洞口负责漂流和工作人员，我记得不止3个山洞。最后一个绝对绝对难忘！哈哈哈哈，祝大家游玩开心！（水质有点味道，并不是很干净，建议的朋友就不要去了）
wahaha小蓝兔,2019-07-16T15:18:15.000Z,坐落于豫秦晋三省交界处的三门峡卢氏县官道口镇境内豫西大峡谷，是集漂流，养生，观光于一体的国家4A级旅游景区。恰逢周末，景区的人也多了起来。风光秀丽的刘秀湖风平浪静，微波粼粼，正是休闲娱乐的好去处。有带孩子来旅行的家长，有团体游，有亲人朋友一起的，也有和男女朋友一起来的，好不热闹。漫步在景区，微风习习，垂柳婆娑，像是在和路人打招呼。山里的天气很多变，这会儿正是艳阳天，稍等一会儿就会细雨绵绵。好在雨来的快，去的也快，雨后的山里布满了一层雾气，更是增添了朦胧感。走在大峡谷里面，感受着自悬崖绝壁间飞流直下水流，忍不住驻足观望，顺便也把这美好的一幕拍照记录下来。狭长而深邃的峡谷河流滩多水急，身临其境体验落差30余米，宽8余米的大宗潭瀑布，忍不住惊叹大自然的鬼斧神刀。往前面走会经过一个喊泉的景点，水中的瀑布随着喊泉人声音的大小随意切换。声音越大，水流越充足越高，声音越小，水流就会细一点弱一点儿，还挺奇特的。景区还有吊环桥，摇摆桥，网红桥，五环桥等。有游客在上面体验，好不惬意。还有小朋友也走的很稳，平衡感不错。不方便漂流的人们可以在景区享受慢生活，慢慢悠悠的走着，欣赏着美景，呼吸着新鲜的空气，看水中船只起起伏伏，打水战的人们紧追慢赶，也是一种享受。漂流完了之后，景区还有专门淋雨换衣服的地方。全程旅行完了之后，还有接送游客的班车可以选择。整个配套设施还是很完善的，餐饮可以选择农家乐也可以选择夜市大排档，住宿有酒店，农家乐，以及这里独特的星空房车。房车适合四五个人居住，双层巴士改成的，以十二星座命名，还是挺有意思的。里面布置的很干净温馨，有电视，空调，独立卫生将，淋浴房等。桌子上面还装饰的有花，看到这一切，瞬间心情美丽了起来，疲惫感也减轻了很多。晚间的娱乐项目除了有美食，啤酒，景区每周末都会举办节目表演。恰逢第五届萤火虫音乐啤酒节，景区请了专门的表演者来给观众表演了歌舞，魔术，喝啤酒比赛等。其中的穿汉服的网红舞姿轻盈，身材曼妙，表演恰到好处。还有个美女青春靓丽，声音甜美。魔术很奇特，钢管舞演员也很卖力，实力表演。表演过程中，放起了美丽的烟花，更是为这个夜晚增添了一股浪漫的色彩。表演结束之后，一行人去看萤火虫，大家很有秩序，景区也有人提醒大家小心，路很黑，晚上温度很低很冷，萤火虫微弱的光引来了人们的好奇。据说他们只有一周到十几天的寿命，不禁怜惜起它们了。敬重生命，尊重大自然每一个生命。结束之后就是入住酒店，我们住的酒店幽篁居条件还不错，就是那个红房子的酒店，大大的落地窗，从窗外可以看到外面绿绿的风景。房间有空调，独立卫生间带淋雨，双人床。应该就是类似咱们在酒店住的标准间。餐饮方面也很不错，很好的照顾了我们的胃，早餐清粥很温和，喝完很舒服。主食有鸡蛋，花卷，炸馍片，炒菜。最爱的炒包菜每餐都有，因为是景区自己种植的，早晚温差大，长得又很慢，不打农药，口感就好了很多。午餐和晚餐也都很及时，纯手工蒸的馒头，很软很有馒头味儿。小炒肉稍微有点儿辣，猪肉很嫩。辣子鸡很出色，卖相很好，鸡肉又脆又好吃，微甜，停不下来。炒槐花很有农家特色，手工面也是一绝，值得品尝。酒店的服务人员很好，都很有礼貌，细心周到。酒店外面就是高高的竹林，很好的遮挡了阳光。出门去广场看表演，坐班车，都很方便。有兴趣的朋友可以入住这家酒店，一定不能错过他们家的手撕包菜。
小胖友饲养员,2019-07-16T07:52:30.000Z,大暑马上就来了，天辣么热，哪里避暑好呢？给大家推荐一个好地方——豫西大峡谷。在这里，不但可以游山玩水，还可以来场刺激的漂流，晚上在广场看表演吃夜市，露营看萤火虫……是不是听起来就很美、豫西大峡谷的前身就是大淙潭瀑布，号称豫西第一飞瀑，属亿万年形成的火山岩瀑布，相传，因“大淙”在此羽化成仙而得名。它高40米，从崖壁上飞流直下，远观如白布悬空，近看似蛟龙入水，气势磅礴，在阳光照射下，即可见彩虹时隐时现，唯美壮观。驱车前往景区，可以先一睹大淙潭的风貌，再沿着漂流的河道游山玩水，这里五步一小潭，十步一大潭，到处都是景，相机根本停不下来。蓝天青山，空气新鲜，天然氧吧。幽篁居的住宿也不错，和市区的宾馆一个档次的，朝南的阳光充足，不怕衣服晾不干，朝北的凉快基本不用开空调。当然，如果是家庭出游或是年轻人追求浪漫新潮，可以来房车区选一辆自己星座的房车，配套设施一应俱全，门前还可以烧烤，现在郑州已经找不到可以烧烤的地方了，这里是在当地消防部门备过案的可以放心玩咯。里面的设施也很温馨可爱，拍照发圈绝对要火。这样美的房车一晚才488，一家人来真的不要太划算。最多可以入住7口哦，想想，带着老公孩子爸爸妈妈公公婆婆，齐活儿！
紫月,2019-07-16T04:20:45.000Z,三门峡豫西大峡谷的风景名胜区，最最具有特色的特色之一萤火虫。从来没有见过萤火虫的的我，一直都以为根本就没有那种生物，没想到还真的有，真的就像是天上的星星一样，一闪一闪的，美极啦！小贴士：萤火虫成虫寿命一般只有5天至2星期，发光用以吸引异性，发光时间一般只维持2至3小时，不同种闪光间隔不一样，成、幼虫均捕食性，一般多发生在水边和温暖潮湿的地方，其它两科均白天活动，不发光哦～～
星河云海,2019-07-16T03:37:32.000Z,生活需要激情，在经历了半年的辛苦工作、学习之后。我们需要为我们的平静的生活增加一些激情的元素，可以是过山车式的失重感，或是一个猛烈的激流回转，让你肾上腺素迅速飙升。来吧，在炎炎夏热来临时，带着家人，约上朋友，一起去体验激情的漂流，体验那从高高的瀑布上忽然直接摔下，灵魂出窍的感觉，随着啪的一声落水，被四溅的浪花拍在脸上，才把提到嗓子眼的心给拍回来； 体验长长的滑道中的激流大回转，一种失速、翻车的感觉令你发出“啊。。。。。。”的尖叫，胸中的闷气，一扫而光； 体验那家人间、朋友间、陌生人间的放飞心情的泼水大战。豫西大峡谷的漂流全长6公里，整体落差210米，最高落差达45米，有穿山岩洞的暗河漂流、瀑布漂流、回旋型漂流河道的回旋漂流，每一段漂流，每一次颠簸都是一场历险。漂流从刘秀湖出发，这里是一个高山平湖，两侧是高山，绿绿葱葱，身在其中，有一种泛舟仙境的感觉。 旁边还有个“喊泉”，你可以尽情的用你的嗓音去控制泉水的高度。来到“暗河漂流”，一共有3处，其中有一处非常长，洞内漆黑一片，伴随着黑暗的紧张压迫感和洞内落差的刺激感，由不得你不紧张、不害怕，像墨汁一样黑的洞内无论如何去看，也是徒劳，除了自己和同伴的尖叫声，也只剩下哗哗的水声。出来每一个洞口，都是一个相对平缓的水面，这时候大家的气艇就会拥挤在一块，“大战”即将开始。 此时，大家的艇就像碰碰车一样，你撞我，我碰你，无论大家是否认识，拿起你的盆、我的瓢，相互泼起来，即使你是个文静的少女，此时也会被这里气氛感染，拿起你的水枪呲向人群。
孑虫,2019-07-16T03:34:51.000Z,三省交界处的景儿~五湖四海来的人儿~生机勃勃的大自然~纯天然的绿色氧吧~漫天飞舞的萤火虫~妙趣横生的网红体验~富有激情的漂流体验~一切尽在豫西大峡谷~豫西大峡谷位于三门峡市卢氏~顺着高速路一直走，到豫西大峡谷站下高速~从河南省会郑州出发，大概需要三个半小时的车程就到了~豫西大峡谷现在正在举办萤火虫音乐节的活动~可以说是有景，有趣还有乐~一路向西走~越靠近景区，天空越蓝~云里雾里~如临仙境一般~空气分外清新~山里的雨，说来就来~来的也快，去的也快~洗去世间浮尘~留下丝丝凉意~从峡谷高处往低处走~纵览水流湍急，泉水叮咚~儿童嬉闹，老人搀扶~仿佛与世隔绝，悠然自得~峡谷一路尽是漂流的欢乐人儿~男女老少都忘记年龄，忘记性别~一起嬉戏，尽情山水间~高山流水~哗啦啦的水声，高耸的瀑布~让人流连忘返~仿佛所有的烦恼和忧伤都随着水流而去~望着没有边际的竹林~想起了，小时候学的一首诗~千磨万击还坚韧，任尔东西南北风~竹象征着坚持节气的贞操~峡谷两侧，随处可见盛开的野花~正是这些野花，把峡谷装饰的更加美丽~抬头是蓝天白云，低头是绿叶繁花~美不胜收~夜晚的峡谷，更是丰富多彩~萤火虫点亮了漆黑的夜晚~一闪一闪，仿佛星星在眨眼睛~萤火虫漫天飞舞，仿佛置身于仙境一般~高山流水，月满星辰~黑夜降临，峡谷的山也穿上了黑色的礼服~透过月光，环顾四周~坐在溪流旁，听着小溪流水~体验不一样的生活~放下脚步，走进大自然~感受不一样的美~
ruan咩咩,2019-07-15T15:29:34.000Z,豫西大峡谷，可以体验的特色项目有漂流、百草园、温泉、星座房车、萤火虫音乐会……距离郑州大概三个半小时的车程，可以说是省内两日游不错的选择！【漂流】炎炎夏日，来的第一天，最先体验的就是这里的漂流！“天下漂流，爽在豫西”这里的漂流和其他地方的漂流相比，相对平缓一些，1.2米以上的儿童和65岁以下的老人都可以玩全程。但是平缓不代表平庸，豫西的漂流集瀑布、峡谷、暗河、岩洞、回旋为一体，体验感会更加丰富。开始一段平缓的湖泊，需要成员相互配合，用船桨划到瀑布口。时机和力量配合不好，船就容易原地打转，这一段是最考验技术和体力的。从第一个瀑布下来后，后面一路有水流，基本很少再用到船桨。全程最刺激的当属三个山洞，每个都有不同的特色：飞龙洞黑，伸手不见五指；凤祥洞颠，像是坐船下楼梯；勇士洞险，落差和冲击力最大！整个漂流全程下来大概两个小时，需要穿救生衣带头盔，团购票价187，出口交通30（可以坐到漂流入口处）出口有淋浴的地方，可以在入口处托天天快递把换洗衣服送过来，也可以直接坐巴士回酒店洗漱，设施服务还是非常成熟的！【住宿】我们住宿安排在漂流入口处附近的宾馆，因门口一大片竹林而得名幽篁馆，漂流完直接乘车回来洗澡，非常方便！宾馆规模不大，设施也不算齐全，但胜在干净，比农家环境好上很多，提供牙具、梳子、洗漱用品。一楼提供餐饮，饭菜挺不错的，推荐槐花炒蛋、干煸豆角、小酥肉、排骨汤……【音乐节】每周六晚在漂流大厅前的广场上，有萤火虫音乐节，请了**网红来表演节目，赞助商金星啤酒。设计的有一些互动环节，喝啤酒大赛，参与即有奖！结束后会组织大家去山里看萤火虫，不过萤火虫怕光，手机手电等灯光需要关闭！【星空房车】第二天早上用过餐后去参观了星座房车，这些房车都是些大型双层巴士改造的，根据12星座命名，每辆车里面布局设施相同，风格装饰上略有不同。虽然只有一辆车的大小，但是客厅、卧室、洗手间、空调电视……一应俱全，上下两层能住下五个人，一晚价格488，非常适合家庭出游或者闺蜜聚会。【百草园】豫西百草园，原来是个国家级贫困村——河沟村。村里景色怡人，保留着农家的原始风貌，景区在原始的泥土房屋上做了些加固，经过开发后有了现在的百草园。从游客中心出发，前一部分是些老建筑，村茶馆、村委会、百草堂、三味书屋……商业气氛并不是太浓厚，主要还是以展示为主，很适合拍照！后半部分修建了游乐园，有小朋友喜欢的秋千、滑滑梯、压压板……也有网红桥、彩虹飞碟等爆款娱乐设施……后期应该还在建设中，希望能修建些民宿咖啡厅，提供午后小憩的落脚地儿！整体来说是周末放松避暑不错的选择，整体消费也不是特别高，一趟玩下来人均大概四五百块钱。唯一遗憾的就是没能体验到温泉，也算留个念想下次再来！
嘎玛啦,2019-06-24T02:47:30.000Z,风景美，尤其漂流超赞可以漂流2小时，厉害了惊险，刺激，好玩
蓦蓦涵小妞妞,2019-06-16T12:35:59.000Z,只能说是个坑！！！！弟弟开车带妹妹和妈妈一起去的，到景区门口45一位（本地身份证）门票交了后告知停车场往里走，停了车后完全没人管也没有指引牌，沿着水泥路太阳下走了几公里无一个工作人员，无奈打了景区电话告知离景点不远了，结果放眼望去还是看不到头，恰好遇到一个外地游客开车捎带才得以到山下景点，开车七八分钟，试问步行叫“没多远了”？？？基本没咋玩，因为漂流出发地在入口，我们已经到终点了，只能吃了凉皮在饭店大叔指引下沿山路往回走，路上看到了漂流的游客，完全没有工作人员维持秩序保障安全，其中一名游客还掉进水里冲了很远。貌似磕到了膝盖，总体来说，很坑！！！！！
简单KK,2019-06-13T12:58:36.000Z,超级赞，唯一推荐里面的漂流，玩玩这个就够了，其他的都无所谓。一共可玩两个小时，大峡谷漂流很长，中间有多个斜坡滑倒，终点玩完还可以洗浴。唯一吐槽点就是水确实有点不干净，建议穿短袖短裤凉鞋，不要带手表等贵重物品。重点，务必准备给力水枪，哈哈哈哈哈哈
二郎,2019-06-07T13:43:33.000Z,豫西大峡谷的风景很美，是因为这里的山高低起伏，这里的水流不息。有水的地方就有生机，在这里的水流随着山势往下流形成了很多大大小小的瀑布景观，行人游客来到这里不仅可以看到自然风景，还能过陶冶情操，感受自然的美好。
三生,2019-06-07T13:16:58.000Z,坐了半天的路程来到了豫西大峡谷，这里的夜晚可以听见鸟儿的叫声。周围的树木静悄悄的。夜色笼罩的街道很安静，没有了都市的车来车往，代替的是寂静的街道。这里的空气很清新，夏天的夜风缓缓的吹着，很凉爽。来这里避暑太适合了。
呦呦,2019-06-07T11:47:07.000Z,虽然是第一次来豫西大峡谷游玩，但是感觉这里的风景特别的美。青色山，绿色的水，高低起伏的山脉，在蓝天白云的衬托下显得格外清新自然。这里的空气很清新，环境也很幽雅，游玩的人也不是很拥挤去，感觉特别适合避暑休闲。
市井食光,2019-06-02T04:30:16.000Z,位于三门峡卢氏县的豫西大峡谷，从郑州开车跑了将近四个小时才到，沿途看到很多的山脉，天蓝的让人很舒服，没想到高速上人这么少，来回路途都很顺利        进去需要购买景区门票和漂流的票，漂流完就直接撤了，并没有在景区玩耍，网上有团购，可以优惠二十块钱，不过需要提前四小时预定才可以使用，还需要缴纳停车费5元        去漂流人不是太多，在七点位置堵着蓄了一会儿水才让下去的，漂流的时候有些地方水比较浅，船可能会搁浅，有几个山洞略微有些刺激，里边黑乎乎的什么都看不见，水流比较急，不过一路没有看到有翻船的人        门口有买防水袋的，需要带手机的可以买一个，把手机装进去就可以带上船不怕水了，还需要买个瓢在路上舀水和别人开战，哈哈，远距离交火水枪好用，压力越大越好，近距离交火水瓢比较好用
