用户名,时间,评论内容
z18295961613,2020/7/29,这里的漂流项目挺刺激的，适合身心疲惫的亲们亲身体验！ 家庭散心的好地方！
ivanhappy,2020/8/16,居然没有人告知，也不知道需要把衣物托运到终点并在终点冲淋，等我们回到起点才知道，郁闷，只好找了家农家乐付钱冲洗的
ruoruchujianli,2020/6/22,「豫西大峡谷漂流」「大淙潭瀑布」「挡箭石崖」「濯足池」「三叠峡谷」第一次去豫西大峡谷漂流，很好玩，很刺激！
吴骞小老弟,2020/8/17,吊桥可以玩，玻璃景观有点坑，太小了
奥迪用车出租,2020/8/22,还行，就是收费坑了，以前飘完10块钱就下来了，这次要30，以后不去了！套路太深，景区买的蒸饺都发臭！
fMc45573868,2020/8/2,玩的很开心，唯一一点美中不足的就是救生衣太脏了。
wendy_若梦,2020/8/12,刚下过雨 水有点混
ckD180457647,2020/9/1,下午3点多过去 都没水了 一点儿都不刺激
山西叶子,2020/8/29,挺好的，尤其是60岁以上免门票，太满意了！
Yec131785374,2020/8/29,就是儿童票有点小贵😯玩着还是挺不错的☺️
超级茉莉的妈咪,2020/8/25,每年都去漂流，每年都有不一样的体验，好玩儿🥳
ZW半夏微凉Y,2020/8/26,风景不错，超棒哦哦，建议他家去玩。
青涩de番茄,2020/8/12,豫西大峡谷这段时间还是不错的，买漂流的票送进场门票。漂流好玩，据称挺长的，快两个小时。
Mr_bai、,2020/8/22,除了，停车收费，返回坐车30一人以外，基本没啥了
超级茉莉的妈咪,2020/8/25,好玩，每年都去，
未有心软之神,2020/8/28,挺好的
xiebinbinya,2020/8/22,漂流的时候很好玩儿，水也不凉。
九八,2020/7/25,满意的地方不说了，漂流确实不错，不满意的地方是到了终点如果坐电瓶车回来的话，票价是每人30，比较坑，还有就是要团购42元的那个的提前两小时买，需要注意
紫兰色月光,2020/7/28,水量很大，漂流船质量很好，漂流途中的安全防护人员很负责任！
匿名用户,2020/8/18,环境很好，玩的很开心
Y哆啦A梦的袋鼠兜,2020/8/13,玩的还可以，水有点脏，水道有点短，不是很刺激
rmb790484414,2020/8/11,设施不错，服务人员也到位，就是感觉没有6.2km，玩的不是很过瘾。
Qtc246287579,2020/8/1,很刺激，风景优美
Qtc246287579,2020/8/1,很开心，风景很美
kDc831703890,2020/8/13,很刺激很刺激，很好玩很好way，真的很不错，值得一去，喜欢水喜欢刺激的人很值得一去。
匿名用户,2020/8/12,比较偏，农家乐费用很高！住宿一般般吧
想你19999,2020/8/18,景美，好玩
三宅一生71,2020/8/11,去了第四次了，水稍微有点脏，其他还好
PfV700466537,2020/8/13,一般草草草草把笔名我给弟弟呵呵呵额呵呵呵嘿呵
kvD417163948,2020/8/13,夏天和漂流实在太配了，超级爽。
喽嗨喽嗨de,2020/8/10,开心刺激而且河道还长
游鱼9197,2020/8/4,很美，很刺激，风景也不错，去的时候天气不冷也不热，很不出错，有机会还会去
Ualtin,2020/8/12,好评
NRf749587461,2020/8/2,整体很平缓，没有什么落差。水很脏，游玩感觉一般～l
匿名用户,2020/6/25,"跟别的漂流比 性价比不高 不会来第二次。漂流全程很短 门票也不含回程大巴。一个人30 真的坑。运换洗衣服到下游洗浴处要收快递费。一个盒子只能装两个人换洗衣服。那 <span class=""feedbackmore"">为啥不把洗浴安排在上游停车场位置。花里胡哨没一个实用的。 <i class=""text-icon icon-toggle-arrow"">"
xGa193840753,2020/7/27,最后一个洞管理人员把握不好时间，这边还没下去，另外一个人都能怼人头上，恶心人
gqxwlp8155,2020/8/5,孩子玩的高兴！期待下次会更好！
申小妤,2020/7/16,漂流很好玩的，夏天必玩项目。爱好漂流的可以行动起来啦。
姜磊stone,2020/8/6,极限漂流，安全刺激，取票方便快捷
AAC732,2020/8/1,已经去过好几次了，都觉得非常不错，离家200多公里，依然过来
tcZ239883309,2020/8/7,比景点买票便宜好多！
行走江湖1981,2020/8/5,刺激，泼水挺好玩
kkkkkm730,2020/8/5,很好玩，明年可以再来，赞赞赞赞赞
Xev336335559,2020/6/22,很刺激，就是水不太好喝，去的时候要带挺多东西的
yUO949497228,2020/8/1,很好玩！孩子特别开心！值得一游！
微笑代替情绪M,2020/8/2,和朋友玩的特别开心
匿名用户,2020/7/30,漂流挺好玩的，景区其他景点没啥意思
TiR833645572,2020/7/28,挺好的，洗澡水是凉的，如果是温水的话更好
BYx429445462,2020/7/30,玩得很开心
pvm978656588,2020/6/25,绝对差评，几个平方的小地方就敢收这么贵，买票的一个劲的忽悠一百种音效什么的，根本不值当
zhao000311,2020/7/26,非常棒，很刺激超级棒 想来的赶紧来，加油
文冬冬,2020/7/25,不错
iAO193731348,2020/7/20,不错，刺激，最好的是终点站就可以洗澡，可以干干净净的继续游玩
star20885,2020/7/22,可以可以的环境不错 舒心 凉快 身舒服
匿名用户,2020/7/22,环境不错，值得一去！
此生思念,2020/7/18,还可以，有几个点还挺有意思，没有栾川那边那个长。
ckD180457647,2020/7/19,下午去的 水太小了 费劲死了 还得自己划船
淡静中平凡,2020/7/21,你收费能一次收完吗？哪哪都有收费
朱国敏1994,2020/7/17,还可以吧？出来不要忘记带衣服。11111111
abM915453965,2020/7/1,观景台很一般，吊桥还可以。感觉不值这个价钱。很小的玻璃台子。不建议玩这个项目。
hRH842992372,2020/7/10,一般一般就是就是技术监督局点解点解电话号度都好都好嘟嘟
霹雳得鹰,2020/7/9,还好吧，好多人素质不太高就是，建议注意安全
CdI144745949,2020/7/7,就是买错漂了去漂流买了套票应该就买漂流的票就可以了白花了几十块钱
一笑而不语一,2020/7/13,还可以
一笑而不语一,2020/7/13,还可以
匿名用户,2020/5/28,漂流很刺激，时间很长，浪大水流湍急，还把一只拖鞋冲丢了！
匿名用户,2020/5/26,挺好玩的，就是水是真的脏，小虫虫太多，去时没注意看有个快运是运干净衣服的，结果漂流下来全身湿透，只能坐景区车返回停车场换衣服，一个人30元不到五分钟就到了，这个比较贵
fFA981477107,2020/7/1,不错不错，直接漂流然后走上来看风景
fFA981477107,2020/7/1,漂流很刺激，山里环境非常好
匿名用户,2020/6/27,水质差差的厉害，过敏发炎。 垃圾景区
rMN371642943,2020/6/25,就是附近的住宿条件太差，玩的是真的好。
Ras871972878,2020/6/27,带孩子去玩的，很开心
Ras871972878,2020/6/27,带孩子去的，很开心
匿名用户,2020/6/8,漂的很爽。
不要害怕我在身旁,2020/6/8,垃圾死了辣鸡景区 河南最垃圾的景区水真的脏 还有飘下去只能做缆车上去 离停车场超远 还不让开车进去
TFv706147088,2020/6/24,售票员的服务极差 非常差 非常不满意
wou785513241,2020/6/20,以为会很刺激，结果就是第一下刺激，剩下就很无聊了
wkL986375503,2020/6/14,水质不太干净，漂流挺开心的，漂流回去不要坐车还能看看风景
匿名用户,2020/6/12,其中有一段比较刺激，其他的时候都是比较缓慢进行的。
刘博奇,2020/6/6,美团必须买了四小时以后 柜子这次去不能用 水里虫子多
Nop716383787,2020/6/10,门口卖一进门卖凉皮的不仅脏态度还很恶劣
yHA261400761,2020/6/8,差评差评 漂完流 自驾车开不下来 穿着试衣服上去
iqK635623611,2020/6/3,很好，女朋友很开心
萍萍,2020/6/6,一定要漂流
匿名用户,2020/5/30,还不错，就是维修，然后没有漂流到最下面，有点小遗憾
JMj315607039,2020/5/28,挺好的玩的开心就好123456789
冬日sunny,2020/5/19,真不错，漂流长，通道体验惊险刺激，希望下次还能玩
evy505920248,2020/5/12,已经去了两次，很刺激
不二少年’,2020/4/30,还可以，也就一般，没有想象中的那么好玩。
Tdb775869759,2020/4/25,不错不错，娃们打水仗 开心开心，主要是小孩玩
Tdb775869759,2020/4/25,娃们玩的挺开心，特别是最后的那个洞 刺激
落叶知秋心儿,2020/4/25,环境还可以吧
cHJ345360483,2020/4/17,很普通的漂流，不是很惊险！带孩子可以去玩一下
Ycmled,2020/4/14,挺不错的，跟女朋友一起去的，有两个老头有意思
皮皮888666,2020/4/17,非常好玩 强烈推荐
egc360269124,2020/4/6,设施全，环境好，天然氧吧，玩的很刺激
Rebecca,2020/4/8,一般般，门票价格太贵了，不会再去
梦里有饭我要减肥,2020/4/2,还可以吧，人太多了一壶人，漂不下去，哈哈。
tfK374336764,2020/3/31,购票服务差，水太脏了，大家请参考
lemon19861225,2020/3/14,漂流挺不错挺刺激，就是去的时候有点冷，穿的雨衣没什么用，衣服全湿透了
东虎爱喵喵,2020/3/21,环境不错，漂流很好玩，景色优美！
加菲猫,2020/3/18,设施不错，风景如画，漂流惊险刺激让人难忘
匿名用户,2020/3/15,风景美，环境空气好，漂流刺激，夏天没事到这里玩
太懒没留姓名,2020/3/14,不错的地方，值得推荐
Kgm629885065,2020/2/7,太好玩了
骄傲lion,2019/12/3,漂流必去，时间长，夏天太多了半天划不过去，然后到哪里还要排队才能下去，感觉要被晒死，阿西吧，人多时候去可不美，不过风景很好哈哈哈，好玩
匿名用户,2020/1/21,激情漂流
HNk139549251,2019/12/7,在西北地区，算是很不错的漂流了，但是，所有漂流体验的通病就是，救生衣和头盔都是臭的，不专业，感觉没有特别专业的人员管理，总像是不正规的体验项目
pmX515658090,2019/12/24,过隧道挺吓人的，整体还不错。刺激
一天存两块,2019/12/26,挺好玩挺刺激的推荐
我要好吃的3,2019/10/28,来的季节不对，景区里杂草丛生，落叶满地，几乎就我们一家人在里面游玩，如果是夏天来的话可以玩漂流。
wTL375617446,2019/12/1,超级刺激 这是目前玩过漂流最好玩的一次啦！强烈推荐，每个隧道的什么都不一样。让人充满惊喜期待
x可乐mama,2019/12/14,和朋友一起去的。 爽
昱颖,2019/7/22,"友情提示：首先大家准备漂流的干净的衣服，还有就是防水手机壳，干衣服可以做快运到山脚收费10元，买的拖鞋15一双，有不是运动鞋的不用买，本来是兴高采烈的来的，天气 <span class=""feedbackmore"">不错阴天，但是真正下水的时候有点冷玩的一个小时多，水有点脏，有洁癖的慎入，所有的救生衣都是湿的，领口发霉了感觉，最最不能理解的是当你开心的走出来的时候，洗澡的地方没有热水，脏的要死，水流的简直是滴的，这就算了，反正就是没有另收费，就没有服务可言，下山做的巴士，一个人30元，也可以选择走，十公里左右！再下来就是住的问题了，找了一个多小时基本都是88元的民俗，卫生程度太一般，价格也不贵，就是找哪里哪里满，这个体验是真差劲最后老公让我等着说他去找，二十分钟左右，天空又下起了雨，老公说找到了，带我一看，就那环境还敢要299元，话说原价398元，瞬间爆炸，我说明天也没啥玩的，直接回市里不是更舒服吗，就开车走了，总而言之，漂流还可以，其他的就不多说了，感受好差！ <i class=""text-icon icon-toggle-arrow"">"
TEx488224355,2019/11/24,主要漂流去了，人很多，救生衣和帽子太脏了，物品存放也不方便，收费太高。
Dcy159015847,2019/10/2,"超级超级差评，游客服务中心不是为了让景区更好吗？商家限制的不可退，在付款前为什么不显示？我想换一下票又不是不进去，并且原价付，这都没问题。我只是建议一下把这个限 <span class=""feedbackmore"">制退票改一下，为了防止以后有人不小心点错退不了票。不听建议都骂人贪图便宜才团票，既然买了就不能退，我去了那么多地方真是没见过有这种！你要是不想让用美团，就别在美团上卖这个券啊！ <i class=""text-icon icon-toggle-arrow""> 商家回复： 2019-10-20 抱歉没有给您带来美好的旅行体验，祝您在今后的旅途中开心快乐"
傲曼曼,2019/11/21,景色宜人，设施建设完善，游人相对觉少，适合避暑游玩。
匿名用户,2019/10/31,景色宜人，有很多小鱼，山涧溪水～是个漂流的好地方
匿名用户,2019/11/15,除了离的有点远，其他还好吧。。。。值得一去
huangguohua2013,2019/10/24,真不错 玩的特别尽兴 找个七八人去玩挺好的 很好玩
jCx313905743,2019/11/10,方便，快速买票
一笔撩灶,2019/10/3,漂流没话说，但是买票的地方和刷票的地方服务态度相差太大，我两个大人带个小孩子买票的地方和服务台都说可以，到里面刷票进去的地方态度特别恶劣，说不行还JJWW 的，瞬间让人没有心情。
wEU266221533,2019/11/4,好
哈根达斯2011,2019/8/11,"美团买了3张，实话实说一般般，不是周末去的，12点半开始漂流，大约1点40分漂流完，就按照水流的速度正常漂流完，很快，没想象的要漂3个小时，关键河道边也没停留休 <span class=""feedbackmore"">息的地方，正常速度漂流也就1个半小时，另外看了一个小瀑布，就走了，还有就是漂流完洗浴很简陋，洗浴房建在山上，里面蚊子很多，我没看见香皂洗发膏之类，一定要自己带， <i class=""text-icon icon-toggle-arrow"">"
王昭749,2019/8/13,"还行吧，第二次去了，美团订票很方便，不过必须得提前两个小时订票。不过只能在终点洗澡，去年是回来之后在起点冲澡。换地方了也不给游客说清楚。景区内的东西还好，不是特 <span class=""feedbackmore"">别贵。感觉今年的水流没有去年大，水也没有去年深，好多地方水很浅，船搁浅了好几次。 <i class=""text-icon icon-toggle-arrow"">"
匿名用户,2019/9/8,"在美团消费属于线上不假，但是和该景区没有任何协调到优惠政策问题，郑州市民凭身份证是享有免费入园的福利的，因为线上所以无法退款，景区售票处是否认有任何优惠政策，欺 <span class=""feedbackmore"">诈消费者，也是可以了。作为消费者，只要验证票就不可以退款，也要看什么情况，景区售票处工作人员说不了解有优惠政策，失职。超级接受不了。 <i class=""text-icon icon-toggle-arrow"">"
怣怣GM,2019/9/30,挺好的。一群朋友去玩，蛮刺激。比较有趣的一次漂流！！！比较不错，力荐
焕,2019/10/20,很好玩的，时间距离长，风景也好，玩的过瘾
咖啡不加糖,2019/10/21,好牛的好朋友们都是啊，你呢，你呢，你呢
匿名用户,2019/10/15,千万别两点那个时候开始漂，千万不能，谨记
emmmmmmmmmer,2019/10/13,门票贵，流程短！其他都还可以吧
gRd246771906,2019/8/9,在网上抢到的一元门票一家人只花了六块钱门票钱，景区风景还不错，不漂流的话，爬山也不累基本全是缓坡，一家六口没一个敢漂流的这点比较遗憾
oET514830710,2019/8/21,12年前去玩过一次感觉不错，这次意外的很，售票窗口的美女脾气大，水脏回来身上过敏。
伟伟和睿睿,2019/10/4,差，特差，在网上购票注意上当，豫西大峡谷的售后相当差劲，大家注意上当，不要让自己后悔！
JNi648454733,2019/7/21,"开车自驾游去的，美团买票需要提前4个小时门票和漂流费198元，景区是218元本地身份证198元。到门口买的防水袋装手机可以拍照用 一点也不进水，有卖5元10元和 <span class=""feedbackmore"">15元 5元的就可以很好用 买的水枪也是5元 进去停车费5元，在景区里面就吃了凉皮 和擀面皮 10元一份贵了点但特别好吃 农民手工做的平时没吃过这么好吃的，漂流需要备用一套衣服 我们存放到更衣柜了10元 结果就没用上 漂流下去免费洗澡回来衣服都干了浪费10元。如果想带干衣服换就把衣服让工作人员给邮寄到终点处最好，漂流成人2人一个船 ，带小孩的可以做中间，水挺大的 急流处很多特别刺激，整个过程大人孩子都特别开心。带小孩的1米1以上的都可以玩 ，我们带了个4岁的和7岁的没有半价都得买全票，挺安全的不用担心。 <i class=""text-icon icon-toggle-arrow"">"
匿名用户,2019/7/25,"玩的挺好的。特别是那个黑山洞，挺好的，十二点半开得漂流，水质感觉还可以呀，毕竟山里的水和游泳池的水不一样的吧。玩的挺好的。特别是那个黑山洞，挺好的，十二点半开得 <span class=""feedbackmore"">漂流，水质感觉还可以呀，毕竟山里的水和游泳池的水不一样的吧。 <i class=""text-icon icon-toggle-arrow"">"
匿名用户,2019/8/9,"我娃不到1.2米是免门票费，我还专门去售票那里问了一下儿童漂流多少，售票的说168元，大人我在网上买了188，我说等开始了在给娃买漂流票，结果我去哪里买了，工作 <span class=""feedbackmore"">人员却说需要付门票半价，这不是坑人吗？我说美团188元我在买个，他说4个小时后才能用，那您美团下面门票优惠政策是用来欺骗消费着的吗？ <i class=""text-icon icon-toggle-arrow"">"
如花嗨星人,2019/10/9,还是值得去玩的，休闲游，溪水瀑布
匿名用户,2019/10/4,真是坑人啊外婆去睡咯惠民你移轴摄影破罐子你小日子
bCx964647888,2019/8/13,环境优美，最主要是没蚊子。漂流也不错
匿名用户,2019/10/7,服务挺好的，环境优美，空气清新
石头,2019/10/2,【环境环境不错，交通便利，项目不够好！漂流只有下午才能漂！
Bop272805716,2019/10/3,环境很好，这个季节去很舒服！
减法生活828,2019/8/17,为啥没单次，全是套票，不过孩子玩得高兴就行了
老k6216,2019/10/3,很一般的一个景点。观光车要价太高了。
LV大女人,2019/9/3,非常值得一去，刺激好玩并且学会简单皮划艇，建议自驾或租车前行，千万不要自己过去，交通极其不方便，也不要买雨衣，没用，不如买身衣服
小包不将就,2019/8/30,几年前去过 这次去了 感觉没有之前好玩了 没啥变化
颖博小乖,2019/10/1,漂流刺激
简单7108,2019/9/26,挺好玩的，就是有些小贵，有机会会去吧
So婕妤儿,2019/7/29,哈哈，豫西漂流太好玩啦！！！虽然水不是很干净，但是真的刺激呀～大家一起泼水呲水的时候真的是放松极了，周末或假期游玩好去处
不熟299,2019/7/29,"漂流水道设计挺好玩的 但是景区太黑心了 门票本来就很贵了 其它还啥都收费 漂完之后坐巴士居然一人30 就是普通的公交车 然后把换洗的衣服运到漂流终点 <span class=""feedbackmore""> 也收费 之前别的漂流人家衣服都是帮你免费运的 排队等巴士的时候秩序特别乱 本来是一列 后来的人排成三列也没人来管管 不会再去第二次了 <i class=""text-icon icon-toggle-arrow"">"
wendy_若梦,2019/9/19,漂流不错 洗澡很舒服
柔情似水07,2019/8/23,「大淙潭瀑布」「濯足池」「豫西大峡谷漂流」非常不错，带着小朋友一起去的，玩的很开心，漂流刺激，不过去的话防晒一定要做好，下来晒黑啦哈哈哈
匿名用户,2019/7/14,"怎么说呢？非常一般，虽然漂流是挺刺激的，不过路程很短，河道很窄，河水很脏，里面除了门票和漂流票，也基本都是要收费的。我们去的早，从11点多开始漂，人还算少，等我 <span class=""feedbackmore"">们回来时一点多在路上走人多的不像样，真庆幸去的早。漂流完后洗澡还是可以的，水挺大，暖和。建议洗完澡后沿着水一直走，走不了多久就到起点了，不值得坐景区大巴。总体来说，非常一般，不如以前去过的鹳河漂流和尧山漂流。 <i class=""text-icon icon-toggle-arrow"">"
own946030616,2019/7/27,"以前也去别的地方玩过，这次来这里，总体漂下来觉得一般般，花钱倒无所谓，本来就是来玩的，关键是得物有所值，可我觉得这里根本不值198得门票。显示六公里漂程，可还没 <span class=""feedbackmore"">一会就结束了，漂了有半个多小时吧，然后我们没坐三十块的大巴自己走回去得，应该也就三公里左右，虚假宣传！建议想漂流的朋友看看别家吧！真心的，我们不会再去第二次了！ <i class=""text-icon icon-toggle-arrow"">"
我爱包子1314,2019/9/14,大人玩可以，儿子7岁，漂到最后都不愿意玩了
匿名用户,2019/9/13,人挺多，和孩子一起的，水一般般吧
best197809023,2019/7/23,"门口兑换门票的小姐姐不太友好，我们去的4个大人1个小孩，直接去的时候就买了4张门票＋漂流的钱，然后我们给她出示我的美团验证码，她直接就给我出了票，根本没有考虑游 <span class=""feedbackmore"">客的不方便，我们都没给她说我们取不取第4个人的票，结果她说:“哦！这取出来的票退不成，你这码都是一起的，你要退，你联系美团好吧，这个不是我们收的钱，美团收的，我们不管！”这好吧，我们就有一个人没有玩漂流，因为陪孩子，所以漂流就没给退…… <i class=""text-icon icon-toggle-arrow"">"
木子林夕梦梦305,2019/9/13,大巴车太贵，不过还是挺好完的。
pck265090987,2019/8/6,非常减压的漂流之地，墙裂推荐，但感觉全程飘下来没有两个小时。一定要带防水袋，干衣服，拖鞋。人多可以在入口处打会水仗，不要着急开始漂，要不会感叹美好的时光过分短暂。😘😘😘
匿名用户,2019/9/7,有点坑，一个人三十好像，坐上车，没十分钟就到地点了
吴轩轩000,2019/8/19,网上买票 没玩项目 不能退 在美团上面 申请了快一个礼拜都没信
匿名用户,2019/8/4,真是垃圾，不会再玩第二次，晚上回去等其他游客，原本规定3点40发车，最后7点才发车，一车人等一个人，导游没有一点的大局观念
匿名用户,2019/8/5,自然环境不错。设施，人文垃圾。大门50就像进了个老年公园。漂流168.回程车6公里30。早上在峡谷农家乐99号一个土豆丝，一个辣子鸡蛋，5个蒸馍，5个小碗稀饭，共76块。↖
致行万里,2019/8/6,峡谷农家乐99号，早餐吃了。五小碗稀饭，五个蒸馍一个炒土豆丝，一个炒鸡蛋辣子，共计76块 老板可以收，权当擦屁股了。 房子蚊子吃人，卫生间洗澡不敢用，漏水，怕漏电。
JNi648454733,2019/7/21,"早上10点半到的吃了饭直接开始漂流，3点多返回到出口，非常好玩刺激安全，漂流的时候不要戴戒指贵重物品，手机防水袋绳子接口处不结实要检查并打成死结，有朋友绳子断了 <span class=""feedbackmore"">手机掉进水里找不到，夏天的好去处凉快好玩，打算明年夏天再去玩。 <i class=""text-icon icon-toggle-arrow"">"
叶无道行者,2019/7/22,说实话，这是去的比较烂的地，漂流在景点里面，还要买门票真扯蛋。一个小时的漂流全程，回来大巴车还另外收钱。真是质量比不上尧山和栾川，收费还贵。
pega陈,2019/9/4,非常好，非常刺激，特别好玩，相当热闹
iJI668926693,2019/9/7,「豫西大峡谷漂流」high哈哈哈哈哈哈哈哈high
匿名用户,2019/8/11,售票处离景区太远了，环境不错，漂流票不含门票，得单独购买
RHK545745814,2019/8/28,漂流是下午去的水流可能不是呢么湍急 还是好玩的 洗浴呢块还得改进 真的不方便
So婕妤儿,2019/7/29,30元一位其实设置的有点贵了，建议大家漂流完坐就好。我们是先顺着漂流的河道走下来，本来说走回去结果一看时间快10点半了，就赶快坐回漂流大厅，漂流完挺累的又坐了一次。感觉特别花冤枉钱
QOL895907739,2019/8/24,青山绿水 还有许多小鱼在河里游泳 司机大巴车开的平稳
等不了一点,2019/9/4,好玩
妖精的魔法书,2019/7/13,"完全是个坑，漂流完，还需要花30元购买返程车票。要不然就得走一个小时才能到停车场，请问，一身湿，走到停车场谁能受得了？在景区大门口买票，漂流加门票218含返程车 <span class=""feedbackmore"">费。来美团就是冲着优惠划算来的，这样算下来，不但没优惠，还比在景区大门口买票更贵，真是可恶 <i class=""text-icon icon-toggle-arrow""> 商家回复： 2019-07-14 亲爱的游客，所售票种含门票漂流套票，返程交通属于自费项目。另外漂流本属一项较为刺激的参与性项目，湿身属于正常现象。"
匿名用户,2019/8/25,不值，景区太烂，进个园还要60的门票，太差劲！
等候521到来,2019/8/8,投诉豫西大峡谷，太吭人了，小孩一米2以下本来是免费的，但是去漂流时又让买小孩票，又加门票半价25，票价193，提前也不说清楚
Reborn丶z,2019/8/25,太贵，景区服务素质太差！根本不值
痕水长东,2019/8/13,都挺好，就是美团买的漂流票只能当天使用，打乱了我的计划，希望能够与景区协商改进这个问题
ywq的,2019/8/19,很有意思，线路也长，就是自己划的提防很多，刚进去湖面划半小时
wjyanlibo,2019/8/28,太坑了，2公里的路程要30元，以后不想去了
阿杰651,2019/8/7,没什么玩的，只有漂流，本身漂流价格168都不低了，但是还必须买50元门票，问题是门票进去也没啥可看的，感觉有点坑
匿名用户,2019/7/17,怎么说呢，有生之年不会再来第二回了，死贵，一点也不好玩，得用桨划，腿都被石头磕肿了，太梗了。不多说了，真实情况反馈给你们，我们用了最高的价位飘了一回最短最难受的服务也最不好的一次漂流。时间短，不好玩。
XwR744956593,2019/8/19,凑合，怎么着都得来一次，美团，我们用了，350一人。华了700，孩子175。
nQr641554031,2019/7/23,差评，真心坑！一半时间用浆划，练臂力呢，1个小时不到都结束了。最坑就是小公交，30一个人，怎么不去抢！再不会去
qbn549136908,2019/8/26,【环境】 【交通】 【项目】
牛牛ZXP,2019/8/3,我们是提前一天去的，前一晚上到，找了个酒店，第二天开始漂流，周末人挺多，主要是放暑假了，带孩子去的特别多，想清净的还是别选周末去
fSY209452966,2019/8/20,漂流过程有几个暗洞，总体还可以。
e31001,2019/7/8,不错，很刺激！配套设施也完善很多，就是漂完回来做的中巴太贵了，坐车不超过十分钟，30一个人，小孩子也一样收费！
WWk395993248,2019/8/20,水太脏太臭，再也不来了，弄得满身臭味
aTp800912514,2019/8/7,设备还可以，救生衣比较脏也没人洗，都有黑色的印太明显了，头盔也是这样，别的挺好的
匿名用户,2019/8/3,首先服务区的饭很难吃，再者从终点站坐车到起点就30元钱，在丽江那边景区车都没有这么贵。
陆哥嗯,2019/8/9,除了漂流别的真的很差很差，说真的，我带着小妹来玩，服务管理异常差劲👎不推荐了还是
UzD336739036,2019/8/17,前夜买的票，第二天下雨没玩成，很遗憾
mfN715475567,2019/8/10,设施一般，服务挺好，漂流太刺激了，只是第一次漂流有点紧张，争取明年再去一次。
_qqvhz1370764141,2019/8/12,多次游玩，不错不错，值得推荐的好地方啊，凑字数来看看，
心与口不同518,2019/8/18,漂流很刺激，玩的开心
傻呱哈,2019/6/13,"对于北方城市的人来说还起不错的，山很漂亮水比较浑浊，不过不影响整体的漂流很刺激；比较坑的地方是冲澡的地方跟更衣室一个在终点一个在起点，介意再穿湿衣服回去的，可以 <span class=""feedbackmore"">把衣服用很多层塑料袋包起来做好防水措施带上船，漂流终点有大巴车30块钱，不行走回起点只需要1个多小时，观景爬山玩水很不错的地方 <i class=""text-icon icon-toggle-arrow"">"
DpM767956690,2019/7/28,漂流很好玩，强烈建议去玩，唯一不满意的一点就是，漂流结束的时候下那个漂流艇，没有人接，腿上跟胳膊上都磕到了，青了很大一块
yuqianqian966,2019/8/3,景区管理有待提高，最后开箱子的两个女的管理人员，服务不是很好！玩着不错，挺刺激！
lSj50405397,2019/7/26,漂流还好，但是从终点到起点的返程车票太贵，30块，可是只做了十几到二十分钟！！可他本身的门票已经偏贵了！！很不喜欢的乘车体验
匿名用户,2019/7/28,服务态度差，多大的小孩都全票！到里边还要加钱！太坑！不会再去第二次！！！！是如果最差的一个漂流地方！
kMD500223657,2019/8/3,太贵了，服务员态度一般。收费标准高，于同类项目比性价比底。
匿名用户,2019/7/20,挺好滴，很刺激，适合带孩子来
LxM921920033,2019/8/5,比以前贵了～回程需要买交通～其它的就没啥了。景区还算比较正规
致行万里,2019/8/6,十分钟，一个人30。5个人150.38个人1140。暴利啊左右都坑。跳吧
小红心混剪,2019/7/20,非常好，漂流很刺激
JNi648454733,2019/7/21,爱美的小姐姐一定做好防晒，防晒衣，口罩 帽子穿长裤，在水里感觉不到热很舒服。回来后身上都晒过敏了。
匿名用户,2019/8/4,下游终点没有医疗箱，医务设施简陋，没有充分考虑意外。
匿名用户,2019/7/25,景很美环境也很好，买的197元票包括网红桥但是根本都没开，建议只买漂流票就好。
牛牛ZXP,2019/8/3,很好玩很刺激，最后一个洞时间比较长
维金人1,2019/8/3,水流太小，都是靠划，暗洞很不错，
aTp800912514,2019/8/7,挺好的，去的时候提前带好东西，
华阳消防,2019/8/3,人太多，服务跟不上，周末人太多了！
倚天霸主的宝宝,2019/8/4,坐车小贵，往返15元，距离较近，不划算
匿名用户,2019/8/2,非常不错，挺好的
翟象柏,2019/7/25,漂流时间还挺长，也挺刺激，就是秩序有点混乱，不过景点值得一去！推荐
信命不认命,2019/7/29,设施还可以，服务态度一般，避暑好地方
uNu554995975,2019/7/31,早上就出发，自驾游，过去玩的很high，赞👍一个
Aa醉卧逍遥,2019/7/28,垃圾景区，垃圾漂流，什么都收费，价高
匿名用户,2019/7/30,不怎么样，返程太坑人，垃圾。垃圾
jiangsuwm,2019/7/25,玩过的最好的一次漂流了，刺激
匿名用户,2019/7/22,设施很好，服务周到，下次介绍朋友来游玩。
DpM767956690,2019/7/28,很满意，值得去玩
匿名用户,2019/7/8,漂流时间短 水没冲劲而且还要用桨胳膊快费 消费还高 总之差评 洗澡也是问题
PHI702034352,2019/6/22,非常差，没有洗澡的地方，并且漂流地方人工开发的很明显，还要桨，坐车下山还要钱，价格巨贵，198的价格可以去南阳的宝天曼峡谷漂流哦！那里人工开发的少，价格也不贵，
？？？！！！1234,2019/7/25,非常刺激，很满意的一次漂流
cannag,2019/7/16,价格偏贵，人比较少，不拥挤是最大的优点
玲8067,2019/7/7,时间很短，玩的不够尽兴。态度太差，尤其是开车出景区门口的时候，那态度是一个恶劣。变相收费
语耀万世,2019/7/18,还可以吧，人多太热，不建议去！
